xe	re	ue	pe	Ee
0.902	0.125	0	0.1	2
0.904	0.125	0	0.1	2
0.906	0.125	0	0.1	2
0.908	0.125	0	0.1	2
0.91	0.125	0	0.1	2
0.912	0.125	0	0.1	2
0.914	0.125	0	0.1	2
0.916	0.125	0	0.1	2
0.918	0.125	0	0.1	2
0.92	0.125	0	0.1	2
0.922	0.125	0	0.1	2
0.924	0.125	0	0.1	2
0.926	0.125	0	0.1	2
0.928	0.125	0	0.1	2
0.93	0.125	0	0.1	2
0.932	0.125	0	0.1	2
0.934	0.125	0	0.1	2
0.936	0.125	0	0.1	2
0.938	0.125	0	0.1	2
0.94	0.125	0	0.1	2
0.942	0.125	0	0.1	2
0.944	0.125	0	0.1	2
0.946	0.125	0	0.1	2
0.948	0.125	0	0.1	2
0.95	0.125	0	0.1	2
0.952	0.125	0	0.1	2
0.954	0.125	0	0.1	2
0.956	0.125	0	0.1	2
0.958	0.125	0	0.1	2
0.96	0.125	0	0.1	2
0.962	0.125	0	0.1	2
0.964	0.125	0	0.1	2
0.966	0.125	0	0.1	2
0.968	0.125	0	0.1	2
0.97	0.125	0	0.1	2
0.972	0.125	0	0.1	2
0.974	0.125	0	0.1	2
0.976	0.125	0	0.1	2
0.978	0.125	0	0.1	2
0.98	0.125	0	0.1	2
0.982	0.125	0	0.1	2
0.984	0.125	0	0.1	2
0.986	0.125	0	0.1	2
0.988	0.125	0	0.1	2
0.99	0.125	0	0.1	2
0.992	0.125	0	0.1	2
0.994	0.125	0	0.1	2
0.996	0.125	0	0.1	2
0.998	0.125	0	0.1	2
1	0.125	0	0.1	2
